"level","position","tech_stack","experience","gender","company","company_size","work_type","city","currency","salary","raise_period"
"Junior","Front-end Developer","JavaScript | Html | Css, Vue","0 - 1 Yıl","Erkek","Kurumsal","20 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","10.000 - 10.999","2"
"Middle","Back-end Developer","Java","1 - 3 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Ofis","İstanbul","₺ - Türk Lirası","14.000 - 14.999","1"
"Senior","Software Architect","NodeJS, JavaScript | Html | Css, Angular, ABAP","15 Yıl ve üzeri","Erkek","Yazılım Evi & Danışmanlık","10 - 20 Kişi","Hibrit (Ofis + Remote)","İzmir","₺ - Türk Lirası","55.000 - 55.999","1"
"Junior","Data Scientist","Python, React","1 - 3 Yıl","Kadın","Startup","5 - 10 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","10.000 - 10.999","1"
"Senior","Full Stack Developer","Java, JavaScript | Html | Css, Lit element","3 - 5 Yıl","Kadın","Banka","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","47.000 - 47.999","2"
"Senior","Data Analyst","Python, ","7 - 10 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası","45.000 - 45.999","2"
"Junior","Front-end Developer","JavaScript | Html | Css, Angular","0 - 1 Yıl","Kadın","Yazılım Evi & Danışmanlık","50 - 100 Kişi","Remote","Trabzon","₺ - Türk Lirası","11.000 - 11.999","2"
"Senior","Full Stack Developer","Java, JavaScript | Html | Css, React","5 - 7 Yıl","Erkek","Banka","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","49.000 - 49.999","2"
"Senior","Software Development Manager / Engineering Manager","Java, .Net, JavaScript | Html | Css","15 Yıl ve üzeri","Erkek","Yazılım Evi & Danışmanlık","20 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","65.000 - 65.999","3"
"Junior","Full Stack Developer",".Net, Vue","0 - 1 Yıl","Erkek","Startup","10 - 20 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","14.000 - 14.999","1"
"Senior","Back-end Developer",".Net","7 - 10 Yıl","Erkek","Dijital / Reklam Ajansı","250+","Remote","İstanbul","₺ - Türk Lirası","34.000 - 34.999","2"
"Middle","Back-end Developer",".Net","5 - 7 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","30.000 - 30.999","2"
"Senior","Full Stack Developer","Java, .Net, React","3 - 5 Yıl","Erkek","Startup","250+","Remote","İstanbul","₺ - Türk Lirası","39.000 - 39.999","2"
"Junior","Game Developer","Unity","1 - 3 Yıl","Erkek","Startup","5 - 10 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","12.000 - 12.999","1"
"Middle","Mobile Application Developer (Full Stack)","Flutter","1 - 3 Yıl","Erkek","Startup","20 - 50 Kişi","Remote","İstanbul","$ - Dolar","1.000 - 1.999","4"
"Senior","CTO",".Net, Php, NodeJS, JavaScript | Html | Css, React, Vue, Angular, React Native","15 Yıl ve üzeri","Erkek","Yazılım Evi & Danışmanlık","1 - 5 Kişi","Remote","İstanbul","₺ - Türk Lirası","120.000 - 124.999","1"
"Senior","QA / Automation",".Net, NodeJS","3 - 5 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası","50.000 - 50.999","2"
"Middle","Full Stack Developer",".Net, React, React Native, Unity","7 - 10 Yıl","Erkek","Outsource","250+","Remote","* ABD","$ - Dolar","2.000 - 2.999","1"
"Senior","Embedded Software Developer","C / C++","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","53.000 - 53.999","2"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, React, Angular","3 - 5 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","130.000 - 134.999","1"
"Junior","Full Stack Developer",".Net, Vue","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","Sivas","₺ - Türk Lirası","21.000 - 21.999","2"
"Middle","Front-end Developer","React, Angular","1 - 3 Yıl","Erkek","Yazılım Evi & Danışmanlık","20 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası","25.000 - 25.999","1"
"Senior","Team / Tech Lead",".Net","5 - 7 Yıl","Erkek","Oyun","10 - 20 Kişi","Remote","İstanbul","₺ - Türk Lirası","35.000 - 35.999","1"
"Senior","Team / Tech Lead","Java","7 - 10 Yıl","Erkek","Banka","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","67.000 - 67.999","1"
"Middle","Front-end Developer","JavaScript | Html | Css","1 - 3 Yıl","Erkek","E-Ticaret","10 - 20 Kişi","Remote","İstanbul","₺ - Türk Lirası","22.000 - 22.999","3"
"Senior","Mobile Application Developer (iOS)","Swift, Objective C","7 - 10 Yıl","Erkek","Outsource","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","100.000 - 104.999","1"
"Senior","Project Manager",".Net","7 - 10 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası","47.000 - 47.999","2"
"Middle","Embedded Software Developer","C / C++","1 - 3 Yıl","Erkek","Kurumsal","250+","Ofis","İstanbul","₺ - Türk Lirası","27.000 - 27.999","2"
"Junior","Front-end Developer","React, Vue","1 - 3 Yıl","Erkek","Yazılım Evi & Danışmanlık","20 - 50 Kişi","Remote","İzmir","₺ - Türk Lirası","20.000 - 20.999","2"
"Middle","Back-end Developer","Java","1 - 3 Yıl","Kadın","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","23.000 - 23.999","3"
"Senior","Full Stack Developer",".Net, Flutter","10 - 12 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Ofis","* İngiltere","₺ - Türk Lirası","24.000 - 24.999","1"
"Senior","Full Stack Developer","Java, Go, Vue, Angular","7 - 10 Yıl","Erkek","Güvenlik","100 - 250 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","45.000 - 45.999","4"
"Middle","Front-end Developer","React","3 - 5 Yıl","Erkek","Startup","50 - 100 Kişi","Remote","Tekirdağ","$ - Dolar","1.000 - 1.999","1"
"Junior","Full Stack Developer",".Net, NodeJS, React","1 - 3 Yıl","Erkek","Outsource","250+","Remote","İstanbul","₺ - Türk Lirası","19.000 - 19.999","2"
"Junior","Back-end Developer","Java","1 - 3 Yıl","Kadın","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","23.000 - 23.999","3"
"Junior","Full Stack Developer","Java, Angular","0 - 1 Yıl","Kadın","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","14.000 - 14.999","1"
"Senior","Back-end Developer",".Net, Go","5 - 7 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası","43.000 - 43.999","2"
"Senior","Mobile Application Developer (Full Stack)","Java, NodeJS, Python, Swift, Objective C, React, Flutter","10 - 12 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","20.000 - 20.999","1"
"Middle","QA / Manuel Test","manuel test","1 - 3 Yıl","Erkek","Diğer","250+","Remote","İstanbul","₺ - Türk Lirası","14.000 - 14.999","2"
"Junior","Full Stack Developer","Java, Go, Angular","0 - 1 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","24.000 - 24.999","4"
"Senior","Front-end Developer","Angular","5 - 7 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","50.000 - 50.999","1"
"Senior","Team / Tech Lead",".Net","10 - 12 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","48.000 - 48.999","1"
"Middle","Full Stack Developer","Java, Kotlin, React","1 - 3 Yıl","Erkek","Yazılım Evi & Danışmanlık","10 - 20 Kişi","Remote","Trabzon","₺ - Türk Lirası","20.000 - 20.999","2"
"Middle","Back-end Developer",".Net","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","22.000 - 22.999","1"
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css","7 - 10 Yıl","Erkek","Sigortacılık","250+","Remote","İstanbul","₺ - Türk Lirası","33.000 - 33.999","1"
"Senior","Full Stack Developer",".Net, React","7 - 10 Yıl","Erkek","Kurumsal","250+","Ofis","Ankara","₺ - Türk Lirası","44.000 - 44.999","2"
"Senior","Back-end Developer","Php","15 Yıl ve üzeri","Erkek","Dijital / Reklam Ajansı","100 - 250 Kişi","Remote","* Almanya","₺ - Türk Lirası","21.000 - 21.999","1"
"Senior","SAP/ABAP","Abap","12 - 14 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","80.000 - 84.999","1"
"Junior","Full Stack Developer",".Net","0 - 1 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Ofis","İstanbul","₺ - Türk Lirası","15.000 - 15.999","1"
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css, Angular","1 - 3 Yıl","Erkek","Startup","100 - 250 Kişi","Hibrit (Ofis + Remote)","Bursa","₺ - Türk Lirası","36.000 - 36.999","2"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, Angular","7 - 10 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Ofis","Ankara","₺ - Türk Lirası","28.000 - 28.999","2"
"Middle","Data Scientist","Python","1 - 3 Yıl","Kadın","Startup","10 - 20 Kişi","Remote","İstanbul","₺ - Türk Lirası","20.000 - 20.999","2"
"Senior","Full Stack Developer","Java","5 - 7 Yıl","Kadın","Startup","50 - 100 Kişi","Remote","Ankara","₺ - Türk Lirası","50.000 - 50.999","2"
"Senior","Full Stack Developer","ABAP","5 - 7 Yıl","Erkek","Yazılım Evi & Danışmanlık","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","23.000 - 23.999","2"
"Junior","Mobile Application Developer (iOS)","Swift","0 - 1 Yıl","Erkek","Kurumsal","5 - 10 Kişi","Remote","Adana","₺ - Türk Lirası","19.000 - 19.999","2"
"Senior","Full Stack Developer","Php, JavaScript | Html | Css","5 - 7 Yıl","Erkek","Kurumsal","5 - 10 Kişi","Remote","Ankara","₺ - Türk Lirası","35.000 - 35.999","2"
"Senior","Product Manager","Jira, Confluence, Miro, Figma","10 - 12 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","46.000 - 46.999","2"
"Junior","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Kurumsal","10 - 20 Kişi","Ofis","Ankara","₺ - Türk Lirası","11.000 - 11.999","2"
"Middle","Full Stack Developer",".Net, Php, C / C++","3 - 5 Yıl","Erkek","Startup","10 - 20 Kişi","Ofis","İstanbul","₺ - Türk Lirası","21.000 - 21.999","2"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","25.000 - 25.999","2"
"Junior","DevOps Engineer","Python","0 - 1 Yıl","Erkek","Startup","10 - 20 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","12.000 - 12.999","1"
"Senior","Team / Tech Lead","Java","10 - 12 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","54.000 - 54.999","2"
"Middle","Network & System Engineer","NodeJS, Python, Bash","1 - 3 Yıl","Erkek","Kurumsal","20 - 50 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","30.000 - 30.999","2"
"Senior","Director of Software Development","SAP","15 Yıl ve üzeri","Erkek","Yazılım Evi & Danışmanlık","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","75.000 - 79.999","1"
"Middle","Full Stack Developer","Php, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Startup","1 - 5 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","16.000 - 16.999","2"
"Junior","Embedded Software Developer","Python, C / C++","0 - 1 Yıl","Erkek","Yazılım Evi & Danışmanlık","250+","Ofis","İstanbul","₺ - Türk Lirası","23.000 - 23.999","2"
"Junior","Mobile Application Developer (Full Stack)",".Net, Flutter","0 - 1 Yıl","Erkek","Startup","5 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası","12.000 - 12.999","1"
"Middle","Data Analyst","Python, R","1 - 3 Yıl","Kadın","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","16.000 - 16.999","2"
"Junior","Full Stack Developer","Java, React","0 - 1 Yıl","Erkek","Outsource","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","15.000 - 15.999","2"
"Junior","Back-end Developer","Php, Python, JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Startup","50 - 100 Kişi","Remote","Ankara","₺ - Türk Lirası","38.000 - 38.999","2"
"Middle","Mobile Application Developer (Android)","Java, Kotlin","3 - 5 Yıl","Erkek","Banka","20 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","35.000 - 35.999","4"
"Middle","Back-end Developer","NodeJS","3 - 5 Yıl","Kadın","Startup","5 - 10 Kişi","Remote","Ankara","₺ - Türk Lirası","28.000 - 28.999","1"
"Junior","Back-end Developer",".Net, JavaScript | Html | Css","0 - 1 Yıl","Erkek","Startup","5 - 10 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","10.000 - 10.999","1"
"Senior","Front-end Developer","JavaScript | Html | Css, React, Vue","7 - 10 Yıl","Erkek","Startup","100 - 250 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","35.000 - 35.999","1"
"Junior","Mobile Application Developer (iOS)","Swift","1 - 3 Yıl","Kadın","Startup","100 - 250 Kişi","Hibrit (Ofis + Remote)","İzmir","₺ - Türk Lirası","18.000 - 18.999","2"
"Middle","Mobile Application Developer (iOS)","Swift","1 - 3 Yıl","Kadın","Outsource","250+","Remote","İstanbul","₺ - Türk Lirası","32.000 - 32.999","2"
"Junior","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Yazılım Evi & Danışmanlık","20 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","24.000 - 24.999","1"
"Senior","Front-end Developer","JavaScript | Html | Css, React","3 - 5 Yıl","Erkek","Yazılım Evi & Danışmanlık","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","40.000 - 40.999","2"
"Junior","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Startup","10 - 20 Kişi","Şu an remote ama hibrite döneceğiz.","İstanbul","₺ - Türk Lirası","15.000 - 15.999","2"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css","0 - 1 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","15.000 - 15.999","2"
"Senior","Full Stack Developer",".Net, NodeJS, JavaScript | Html | Css, Angular","3 - 5 Yıl","Erkek","Startup","10 - 20 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","42.000 - 42.999","2"
"Middle","Full Stack Developer",".Net, Angular","5 - 7 Yıl","Erkek","Kurumsal","10 - 20 Kişi","Ofis","Ankara","₺ - Türk Lirası","31.000 - 31.999","1"
"Middle","Front-end Developer","JavaScript | Html | Css, React, Vue","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası","30.000 - 30.999","2"
"Senior","Mobile Application Developer (Full Stack)","Angular, React Native","10 - 12 Yıl","Erkek","Startup","10 - 20 Kişi","Hibrit (Ofis + Remote)","Antalya ","₺ - Türk Lirası","44.000 - 44.999","1"
"Senior","Full Stack Developer","Java, .Net, Php, NodeJS, JavaScript | Html | Css, React, Vue, React Native, Unity","15 Yıl ve üzeri","Erkek","Outsource","1 - 5 Kişi","Remote","İstanbul","₺ - Türk Lirası","50.000 - 50.999","1"
"Senior","Full Stack Developer","Php, JavaScript | Html | Css, Vue","12 - 14 Yıl","Erkek","Startup","100 - 250 Kişi","Remote","İzmir","₺ - Türk Lirası","23.000 - 23.999","2"
"Junior","Mobile Application Developer (iOS)","Swift","0 - 1 Yıl","Erkek","Yazılım Evi & Danışmanlık","10 - 20 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","20.000 - 20.999","1"
"Senior","Mobile Application Developer (iOS)","Swift, Objective C","5 - 7 Yıl","Erkek","Banka","250+","Remote","İstanbul","₺ - Türk Lirası","55.000 - 55.999","2"
"Senior","QA / Automation","JavaScript | Html | Css","7 - 10 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Ofis","Ankara","₺ - Türk Lirası","49.000 - 49.999","2"
"Junior","Mobile Application Developer (iOS)","Swift","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası","26.000 - 26.999","1"
"Senior","Full Stack Developer","Java, JavaScript | Html | Css, React","3 - 5 Yıl","Erkek","Kurumsal","250+","Ofis","İstanbul","₺ - Türk Lirası","42.000 - 42.999","3"
"Junior","Full Stack Developer","Java, React","1 - 3 Yıl","Erkek","Banka","250+","Remote","İstanbul","₺ - Türk Lirası","23.000 - 23.999","2"
"Junior","Back-end Developer",".Net","0 - 1 Yıl","Kadın","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","10.000 - 10.999","1"
"Junior","Back-end Developer","Php, JavaScript | Html | Css","0 - 1 Yıl","Erkek","Startup","5 - 10 Kişi","Ofis","İstanbul","₺ - Türk Lirası","11.000 - 11.999","2"
"Middle","Full Stack Developer","Java, JavaScript | Html | Css, React, Angular","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","35.000 - 35.999","2"
"Senior","Full Stack Developer",".Net, React","3 - 5 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Şu an hibrit ama ofise döneceğiz.","İstanbul","₺ - Türk Lirası","30.000 - 30.999","1"
"Senior","Director of Software Development","Java, Php, Kotlin, Swift, Flutter","15 Yıl ve üzeri","Erkek","Kurumsal","5 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası","100.000 - 104.999","1"
"Senior","Mobile Application Developer (Android)","Kotlin","5 - 7 Yıl","Erkek","E-Ticaret","250+","Şu an hibrit ama ofise döneceğiz.","İstanbul","₺ - Türk Lirası","41.000 - 41.999","2"
"Senior","Team / Tech Lead","Abap","7 - 10 Yıl","Kadın","Yazılım Evi & Danışmanlık","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","48.000 - 48.999","1"
"Senior","Data Scientist","Python, SQL","5 - 7 Yıl","Erkek","E-Ticaret","100 - 250 Kişi","Remote","Ankara","₺ - Türk Lirası","27.000 - 27.999","1"
"Senior","Software Architect",".Net, NodeJS, Go, Python, JavaScript | Html | Css, React","12 - 14 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","120.000 - 124.999","2"
"Junior","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Fintech","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","20.000 - 20.999","2"
"Senior","Front-end Developer","React, React Native","10 - 12 Yıl","Erkek","Startup","5 - 10 Kişi","Remote","Ankara","₺ - Türk Lirası","50.000 - 50.999","2"
"Senior","Team / Tech Lead","React","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","55.000 - 55.999","2"
"Junior","QA / Manuel Test","Java, Python","1 - 3 Yıl","Erkek","Outsource","250+","Remote","Ankara","₺ - Türk Lirası","18.000 - 18.999","2"
"Junior","Back-end Developer","NodeJS","1 - 3 Yıl","Kadın","E-Ticaret","20 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","18.000 - 18.999","1"
"Junior","Back-end Developer","Java","0 - 1 Yıl","Erkek","Kurumsal","250+","Remote","İzmir","₺ - Türk Lirası","10.000 - 10.999","1"
"Senior","Embedded Software Developer",".Net, C / C++","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","44.000 - 44.999","2"
"Senior","Software Architect","Java, Php, NodeJS, Kotlin, JavaScript | Html | Css, React, Vue, Angular, Flutter","15 Yıl ve üzeri","Erkek","Yazılım Evi & Danışmanlık","20 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","40.000 - 40.999","1"
"Middle","Full Stack Developer","Python, Vue","3 - 5 Yıl","Erkek","Kurumsal","10 - 20 Kişi","Ofis","Ankara","₺ - Türk Lirası","40.000 - 40.999","2"
"Senior","Director of Software Development","Java, .Net, NodeJS, Python, Swift, JavaScript | Html | Css, React","15 Yıl ve üzeri","Erkek","Banka","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","125.000 - 129.999","2"
"Junior","Full Stack Developer",".Net","1 - 3 Yıl","Erkek","Kurumsal","5 - 10 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","13.000 - 13.999","2"
"Senior","Team / Tech Lead","Java, Php, Go, Kotlin","15 Yıl ve üzeri","Erkek","Startup","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","74.000 - 74.999","2"
"Middle","Mobile Application Developer (iOS)","Swift","1 - 3 Yıl","Kadın","E-Ticaret","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","19.000 - 19.999","2"
"Senior","Mobile Application Developer (Full Stack)","Kotlin, Swift, Flutter","5 - 7 Yıl","Erkek","Outsource","5 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası","35.000 - 35.999","1"
"Middle","Back-end Developer",".Net, JavaScript | Html | Css","3 - 5 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası","32.000 - 32.999","1"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css","0 - 1 Yıl","Erkek","Outsource","20 - 50 Kişi","Remote","Denizli","₺ - Türk Lirası","13.000 - 13.999","2"
"Middle","Full Stack Developer","Php","5 - 7 Yıl","Erkek","Yazılım Evi & Danışmanlık","10 - 20 Kişi","Remote","* İsviçre","₺ - Türk Lirası","17.000 - 17.999","1"
"Middle","Data Scientist","Python","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","36.000 - 36.999","1"
"Senior","Back-end Developer",".Net","5 - 7 Yıl","Erkek","Banka","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","40.000 - 40.999","1"
"Middle","Back-end Developer",".Net, Angular","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","34.000 - 34.999","2"
"Junior","Back-end Developer","Java","0 - 1 Yıl","Erkek","Diğer","10 - 20 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","16.000 - 16.999","2"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css","7 - 10 Yıl","Kadın","Banka","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","51.000 - 51.999","2"
"Junior","Full Stack Developer",".Net, Php, NodeJS, JavaScript | Html | Css, React","0 - 1 Yıl","Erkek","Kurumsal","250+","Ofis","Kayseri","₺ - Türk Lirası","21.000 - 21.999","2"
"Senior","Team / Tech Lead",".Net","12 - 14 Yıl","Erkek","Yazılım Evi & Danışmanlık","1 - 5 Kişi","Ofis","İstanbul","₺ - Türk Lirası","36.000 - 36.999","1"
"Senior","Mobile Application Developer (iOS)","Swift","5 - 7 Yıl","Erkek","Startup","20 - 50 Kişi","Hibrit (Ofis + Remote)","* Hollanda","€ - Euro","5.000 - 5.999","1"
"Senior","Game Developer","Unity","5 - 7 Yıl","Erkek","Oyun","20 - 50 Kişi","Ofis","İstanbul","₺ - Türk Lirası","52.000 - 52.999","2"
"Junior","Front-end Developer","JavaScript | Html | Css","1 - 3 Yıl","Erkek","Dijital / Reklam Ajansı","5 - 10 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","13.000 - 13.999","2"
"Junior","Front-end Developer","NodeJS, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Dijital / Reklam Ajansı","10 - 20 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","14.000 - 14.999","2"
"Middle","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","24.000 - 24.999","1"
"Middle","Back-end Developer",".Net","3 - 5 Yıl","Erkek","Banka","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","37.000 - 37.999","3"
"Middle","Full Stack Developer",".Net, NodeJS, Go, JavaScript | Html | Css, Vue, Angular, Flutter","3 - 5 Yıl","Erkek","Kurumsal","250+","Ofis","Samsun","₺ - Türk Lirası","21.000 - 21.999","1"
"Middle","Embedded Software Developer","C / C++","1 - 3 Yıl","Erkek","Ar-Ge","100 - 250 Kişi","Ofis","İstanbul","₺ - Türk Lirası","13.000 - 13.999","2"
"Middle","Front-end Developer","NodeJS, Go, JavaScript | Html | Css, React","5 - 7 Yıl","Kadın","E-Ticaret","250+","Remote","İzmir","₺ - Türk Lirası","50.000 - 50.999","2"
"Middle","Embedded Software Developer",".Net, C / C++","10 - 12 Yıl","Erkek","Elektronik","1 - 5 Kişi","Ofis","İzmir","₺ - Türk Lirası","22.000 - 22.999","1"
"Junior","Full Stack Developer","NodeJS, JavaScript | Html | Css, React, React Native","0 - 1 Yıl","Erkek","Kurumsal","250+","Remote","Düzce","₺ - Türk Lirası","15.000 - 15.999","1"
"Middle","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","Ankara","₺ - Türk Lirası","29.000 - 29.999","2"
"Middle","Mobile Application Developer (Full Stack)","React Native","1 - 3 Yıl","Erkek","Startup","20 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","21.000 - 21.999","1"
"Senior","Software Development Manager / Engineering Manager","Php, NodeJS, JavaScript | Html | Css, Vue, Angular","12 - 14 Yıl","Erkek","Kurumsal","20 - 50 Kişi","Ofis","İstanbul","€ - Euro","3.000 - 3.999","1"
"Senior","Back-end Developer",".Net, Angular","12 - 14 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","45.000 - 45.999","2"
"Senior","Back-end Developer","Java","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","51.000 - 51.999","2"
"Junior","Back-end Developer","JavaScript | Html | Css, Sap ABAP, SQL","0 - 1 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","12.000 - 12.999","2"
"Middle","QA / Automation","Java, Python","3 - 5 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İzmir","₺ - Türk Lirası","28.000 - 28.999","1"
