"level","position","tech_stack","experience","gender","company","company_size","work_type","city","currency","salary","raise_period"
"Senior","Data Scientist","Python","7 - 10 Yıl","Erkek","Banka","250+","Remote","İstanbul","₺ - Türk Lirası","45.000 - 45.999","2"
"Middle","Full Stack Developer",".Net, Go, JavaScript | Html | Css","3 - 5 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","28.000 - 28.999","1"
"Junior","Front-end Developer",".Net, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Kurumsal","20 - 50 Kişi","Ofis","Düzce","₺ - Türk Lirası","12.000 - 12.999","2"
"Middle","Data Analyst","Python, SQL","1 - 3 Yıl","Erkek","E-Ticaret","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","30.000 - 30.999","2"
"Junior","Full Stack Developer","Java, .Net, NodeJS, Go, Kotlin, Vue","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","Kocaeli","₺ - Türk Lirası","37.000 - 37.999","2"
"Middle","Back-end Developer","Java","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","33.000 - 33.999","2"
"Middle","Full Stack Developer",".Net, Vue","3 - 5 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","21.000 - 21.999","1"
"Senior","Full Stack Developer",".Net, NodeJS, React","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","37.000 - 37.999","1"
"Junior","Mobile Application Developer (iOS)","Swift","1 - 3 Yıl","Erkek","Banka","250+","Remote","İstanbul","₺ - Türk Lirası","20.000 - 20.999","1"
"Middle","Back-end Developer","Java","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","Ankara","₺ - Türk Lirası","24.000 - 24.999","2"
"Junior","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","Mersin","₺ - Türk Lirası","19.000 - 19.999","2"
"Middle","Back-end Developer","Sql","1 - 3 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","23.000 - 23.999","1"
"Senior","Back-end Developer","Go","5 - 7 Yıl","Erkek","Startup","10 - 20 Kişi","Remote","* Almanya","$ - Dolar","2.000 - 2.999","1"
"Senior","Back-end Developer","Java, Python, Kotlin","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","* Almanya","€ - Euro","4.000 - 4.999","1"
"Junior","Front-end Developer","NodeJS, React, Angular","1 - 3 Yıl","Erkek","Startup","20 - 50 Kişi","Remote","Kayseri","₺ - Türk Lirası","19.000 - 19.999","2"
"Senior","Full Stack Developer",".Net, Angular","12 - 14 Yıl","Erkek","Yazılım Evi & Danışmanlık","1 - 5 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","45.000 - 45.999","1"
"Junior","SAP/ABAP","Abap","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","Sakarya","₺ - Türk Lirası","18.000 - 18.999","3"
